#;Название;Optimist.;Pess.;Optimal;E_i;(СКО_i)^2;;;;
1;Проведение трансляций;1300;2600;1258;;;;;;
1.1;Поиск трансляции;20;80;48;48.66666667;100;;;;
1.2;Просмотр трансляции;400;1000;600;633.3333333;10000;;;;
1.3;Запуск трансляции;320;800;130;273.3333333;6400;;;;
1.4;Сохранение трансляции;560;720;480;533.3333333;711.1111111;;;;
2;Подписки;60;112;84;;;;;;
2.1;Отображение количества подписчиков;40;80;60;60;44.44444444;;;;
2.2;Отписка;20;32;24;24.66666667;4;;;;
3;Онлайн-чат;35;60;44;;;;;;
3.1;Писать в чат;20;30;24;24.33333333;2.777777778;;;;
3.2;Отображение сообщений других пользователей в чате;15;30;20;20.83333333;6.25;;;;
4;Настройка трансляции;520;1000;754;;;;;;
4.1.1;Настройка перед запуском трансляции;240;400;320;320;711.1111111;;;;
4.2.1;Настройка параметров трансляции для зрителя;200;400;280;286.6666667;1111.111111;;;;
4.2.2;Перемотка трансляции;80;200;154;149.3333333;400;;;;
5;Регистрация и авторизация;120;260;144;;;;;;
5.1;Авторизация по логину и паролю Twitch;80;200;96;110.6666667;400;;;;
5.2;Смена пароля;40;60;48;48.66666667;11.11111111;;;;
6;Найстройка профиля;72;144;88;;;;;;
6.1;Смена имени пользователя;16;32;20;21.33333333;7.111111111;;;;
6.2;Смена описания профиля;16;32;20;21.33333333;7.111111111;;;;
6.3;Смена фотографии пользователя;40;80;48;52;44.44444444;;;;
7;Группировка трансляций по категориям;160;240;192;;;;;;
7.1;Группировка по играм;80;120;96;97.33333333;44.44444444;;;;
7.2;Группировка по жанрам и действиям;80;120;96;97.33333333;44.44444444;;;;
8;Создание клипов;280;400;344;;;;;;
8.1;Создание клипа;160;240;200;200;177.7777778;;;;
8.2;Возможность поделиться клипом;120;160;144;142.6666667;44.44444444;;;;
Дополнительная разработка красивого UI для всех функций;;600;1000;700;733.3333333;4444.444444;;;;
Тестирование;;400;800;500;533.3333333;4444.444444;;;;
;;E;СКО;E_95%;;;;;;
ИТОГО (человек/час);;4432.5;170.7647017;4774.029403;;;;;;
ИТОГО (человек/рабочий день);;;;596.7536754;;;;;;
ИТОГО (человек/месяц);;;;29.10993539;;;;;;
ИТОГО (человек/месяц) * (π+e);;;;170.3394841;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
